dataset,cheaper_provider,expensive_provider,price_diff_pct,cheaper_cost,expensive_cost,savings_potential
alibaba_gpu2020,azure,coreweave,9.738723303291287,0.7900115066302263,0.8669485413251068,0.07693703469488045
alibaba_gpu2020,azure,oci,10.192169795634832,0.7900115066302263,0.870530820791032,0.0805193141608056
alibaba_gpu2020,azure,linode,22.828060539355466,0.7900115066302263,0.9703558116316486,0.1803443050014223
alibaba_gpu2020,azure,aws,26.580434792079693,0.7900115066302263,1.0,0.20998849336977365
alibaba_gpu2020,hetzner,coreweave,8.656419691550495,0.7978806441314427,0.8669485413251068,0.06906789719366413
alibaba_gpu2020,hetzner,oci,9.105394045330534,0.7978806441314427,0.870530820791032,0.07265017665958928
alibaba_gpu2020,hetzner,linode,21.616662688685608,0.7978806441314427,0.9703558116316486,0.17247516750020597
alibaba_gpu2020,hetzner,aws,25.332028963878493,0.7978806441314427,1.0,0.20211935586855734
alibaba_gpu2020,nebius,coreweave,5.29474685866029,0.8233540297018169,0.8669485413251068,0.04359451162328987
alibaba_gpu2020,nebius,oci,5.72983059380913,0.8233540297018169,0.870530820791032,0.04717679108921502
alibaba_gpu2020,nebius,linode,17.854018639232187,0.8233540297018169,0.9703558116316486,0.1470017819298317
alibaba_gpu2020,nebius,aws,21.454436843183554,0.8233540297018169,1.0,0.17664597029818307
alibaba_gpu2020,coreweave,linode,11.927728737911792,0.8669485413251068,0.9703558116316486,0.10340727030654184
alibaba_gpu2020,coreweave,aws,15.347099894940447,0.8669485413251068,1.0,0.1330514586748932
alibaba_gpu2020,oci,linode,11.46714033052936,0.870530820791032,0.9703558116316486,0.09982499084061669
alibaba_gpu2020,oci,aws,14.87244059794716,0.870530820791032,1.0,0.12946917920896805
alibaba_gpu2025,azure,nebius,10.83900774535622,0.7070345520347294,0.7836700818921184,0.07663552985738897
alibaba_gpu2025,azure,hetzner,10.843772532084252,0.7070345520347294,0.7837037705806164,0.07666921854588693
alibaba_gpu2025,azure,oci,13.204838116629059,0.7070345520347294,0.8003973200595489,0.09336276802481946
alibaba_gpu2025,azure,coreweave,20.402072490021652,0.7070345520347294,0.8512842538703548,0.14424970183562535
alibaba_gpu2025,azure,linode,33.48667211207581,0.7070345520347294,0.9437968941936833,0.23676234215895386
alibaba_gpu2025,azure,aws,41.43580354342855,0.7070345520347294,1.0,0.2929654479652706
alibaba_gpu2025,nebius,coreweave,8.627887364921031,0.7836700818921184,0.8512842538703548,0.06761417197823638
alibaba_gpu2025,nebius,linode,20.432936767848727,0.7836700818921184,0.9437968941936833,0.1601268123015649
alibaba_gpu2025,nebius,aws,27.604718248981463,0.7836700818921184,1.0,0.2163299181078816
alibaba_gpu2025,hetzner,coreweave,8.62321783135873,0.7837037705806164,0.8512842538703548,0.06758048328973842
alibaba_gpu2025,hetzner,linode,20.427759776434407,0.7837037705806164,0.9437968941936833,0.16009312361306693
alibaba_gpu2025,hetzner,aws,27.59923296772427,0.7837037705806164,1.0,0.21629622941938365
alibaba_gpu2025,oci,coreweave,6.357709169618402,0.8003973200595489,0.8512842538703548,0.05088693381080589
alibaba_gpu2025,oci,linode,17.916048759816636,0.8003973200595489,0.9437968941936833,0.1433995741341344
alibaba_gpu2025,oci,aws,24.937949558052097,0.8003973200595489,1.0,0.1996026799404511
alibaba_gpu2025,coreweave,linode,10.86742059455708,0.8512842538703548,0.9437968941936833,0.09251264032332851
alibaba_gpu2025,coreweave,aws,17.469575579897157,0.8512842538703548,1.0,0.14871574612964522
alibaba_gpu2025,linode,aws,5.955000080216716,0.9437968941936833,1.0,0.05620310580631671
alibaba2018,azure,coreweave,6.604858792695456,0.7995473425058112,0.8523563154590691,0.05280897295325793
alibaba2018,azure,nebius,8.95880016607669,0.7995473425058112,0.8711771911540835,0.07162984864827238
alibaba2018,azure,linode,23.634443259622778,0.7995473425058112,0.9885159055041689,0.18896856299835774
alibaba2018,azure,aws,25.07076777542187,0.7995473425058112,1.0,0.20045265749418884
alibaba2018,oci,coreweave,5.421070619411043,0.8085255731619613,0.8523563154590691,0.043830742297107816
alibaba2018,oci,nebius,7.748872771841453,0.8085255731619613,0.8711771911540835,0.06265161799212227
alibaba2018,oci,linode,22.261550941215873,0.8085255731619613,0.9885159055041689,0.17999033234220763
alibaba2018,oci,aws,23.681925865279116,0.8085255731619613,1.0,0.19147442683803872
alibaba2018,hetzner,nebius,6.879442176942503,0.8151026740126698,0.8711771911540835,0.05607451714141376
alibaba2018,hetzner,linode,21.2750168807327,0.8151026740126698,0.9885159055041689,0.17341323149149912
alibaba2018,hetzner,aws,22.683930734406623,0.8151026740126698,1.0,0.18489732598733022
alibaba2018,coreweave,linode,15.974491838165807,0.8523563154590691,0.9885159055041689,0.1361595900450998
alibaba2018,coreweave,aws,17.321826783369552,0.8523563154590691,1.0,0.1476436845409309
alibaba2018,nebius,linode,13.468983754572594,0.8711771911540835,0.9885159055041689,0.11733871435008536
alibaba2018,nebius,aws,14.78721093182659,0.8711771911540835,1.0,0.12882280884591646
azure_native,azure,coreweave,9.777262773923502,0.7845650367978332,0.861274022077887,0.07670898528005377
azure_native,azure,nebius,10.321170615282924,0.7845650367978332,0.8655413328335948,0.08097629603576162
azure_native,azure,linode,15.532642356501361,0.7845650367978332,0.9064287180177939,0.12186368121996072
azure_native,azure,aws,27.459159291810266,0.7845650367978332,1.0,0.21543496320216682
azure_native,hetzner,coreweave,7.733396542858929,0.7994494276760795,0.861274022077887,0.06182459440180743
azure_native,hetzner,nebius,8.267177743767723,0.7994494276760795,0.8655413328335948,0.06609190515751528
